ID	STATEMENT	POSITION	SPATIAL_RELATIONS	SHAPE	CONSTITUENTS	CONNECTIONS	NOTES
19088	Perichondral bone: present						
27998	Form of nasal: with well-developed dorsal and ventral lamellae		1		1		
26359	Anterior shelf of frontal: ventrally expanded with straight margin		1	1	1		
15516	Number of anal-fin pterygiophores in prehaemal space (anterior to haemal spine of first caudal vertebra): none		1		1		
2713	Esterase la: absent						
4590	"Overall morphology of the opercle: a broad, roughly triangular bony lamina"			1			
13290	Ethmoid cartilage extension: lateral portion of ethmoid cartilage without posterior extension in all siluriforms except Diplomystidae		1		1		
7309	"Transverse occipital crests: crests tilted obliquely backward, expanded onto supraoccipital process"		1	1		1	
19123	Hypobranchial 4 cartilage: Present						
23028	Number of branchiostegal rays: seven				1		
28412	"The radius is thus not rod shaped as originally reconstructed by Long (1989:fig. 11a), with approximately only a third of it visible, if its shape was similar to that of other Carboniferous rhizodontids.: "			1			
4881	"Ilium, bevis fossa, shape and orientation: arched ventrally-opening posteriorly-expanding to a width approximately 50% of its length"		1	1			
13850	Total lateral-line scale count: mean: 142 (range: 130‰Û_ÌãÌÂ168)				1		"""lateral line is a noun"""
5	Anteroventral margin of lateral ethmoid: anterior margin straight and oblique		1	1			
15010	Metatarsal IV:: nearly the same mid-shaft diameter as metatarsal III		1	1			
12731	"Posterior extent of lateral shelf of quadrate: lateral shelf of quadrate elongate, extending posteriorly past posterior margin of symplectic to terminate ventral to hyomandibular"		1	1	1	1	
15957	"Stripes on the caudal fin: no stripe, or only one stripe ending at the end of caudal-fin rays"		1		1		
18089	"Pubis, shaft, orientation (lateral view): posteroventral"	1	1				Position?
3215	(G10.) Multiple jointing of pectoral radials: absent						
7932	Dorsal lamina of Weberian apparatus: dorsal lamina of Weberian apparatus with a concave margin; does not contact dorsal surface	1		1		1	Position?
22621	"Median fin spine insertion: shallow, not greatly deeper than dermal bones/ scales"				1		
15067	Long basal lepidotrichial segments in other fins: no				1		
11996	Occipital sensory canal on parietal bones: in a trough		1		1		
15060	Anocleithrum exposed: no						
8998	EOD tetraphasic: EOD of mature specimens with two (sometimes one or three) phases						?
