ID	STATEMENT	POSITION	SPATIAL_RELATIONS	SHAPE	CONSTITUENTS	CONNECTIONS	comments
19088	Perichondral bone: present				1		
27998	Form of nasal: with well-developed dorsal and ventral lamellae			1			
26359	Anterior shelf of frontal: ventrally expanded with straight margin		1	1		1	
15516	Number of anal-fin pterygiophores in prehaemal space (anterior to haemal spine of first caudal vertebra): none		1		1		
2713	Esterase la: absent				1		
4590	"Overall morphology of the opercle: a broad, roughly triangular bony lamina"			1			
13290	Ethmoid cartilage extension: lateral portion of ethmoid cartilage without posterior extension in all siluriforms except Diplomystidae		1	1			not sure if this should be shape or constituents
7309	"Transverse occipital crests: crests tilted obliquely backward, expanded onto supraoccipital process"		1	1			
19123	Hypobranchial 4 cartilage: Present				1		presence or absence seems to often be a constituent category
23028	Number of branchiostegal rays: seven				1		number seems to often be a constituent category
28412	"The radius is thus not rod shaped as originally reconstructed by Long (1989:fig. 11a), with approximately only a third of it visible, if its shape was similar to that of other Carboniferous rhizodontids.: "			1			this is an odd statement- doesn't seem like its out of a description
4881	"Ilium, bevis fossa, shape and orientation: arched ventrally-opening posteriorly-expanding to a width approximately 50% of its length"		1	1			am generally coding orientation as spatial relation
13850	Total lateral-line scale count: mean: 142 (range: 130‰Û_ÌãÌÂ168)				1		
5	Anteroventral margin of lateral ethmoid: anterior margin straight and oblique			1			
15010	Metatarsal IV:: nearly the same mid-shaft diameter as metatarsal III			1			note that this shape is relational - but is that a spatial relation?
12731	"Posterior extent of lateral shelf of quadrate: lateral shelf of quadrate elongate, extending posteriorly past posterior margin of symplectic to terminate ventral to hyomandibular"		1	1			am coding extents as shape +relation
15957	"Stripes on the caudal fin: no stripe, or only one stripe ending at the end of caudal-fin rays"			1	1		constituent because it's a count; shape because that seems closest to color or pattern
18089	"Pubis, shaft, orientation (lateral view): posteroventral"	1	1				not sure if position or spatial
3215	(G10.) Multiple jointing of pectoral radials: absent				1	1	
7932	Dorsal lamina of Weberian apparatus: dorsal lamina of Weberian apparatus with a concave margin; does not contact dorsal surface			1		1	
22621	"Median fin spine insertion: shallow, not greatly deeper than dermal bones/ scales"		1			1	
15067	Long basal lepidotrichial segments in other fins: no				1		
11996	Occipital sensory canal on parietal bones: in a trough		1				
15060	Anocleithrum exposed: no		1	1			
8998	EOD tetraphasic: EOD of mature specimens with two (sometimes one or three) phases						I donÕt understand this one
4909	Ventral margin of descending maxillary blade: anteroventral margin of descending blade not ossified; distal half of blade extending as a narrow process with a sharp point at its distal tip	1	1	1			"""not ossified"" reads to me as a quality of the feature and one that doesn't quite map here"
9715	Second pharyngobranchial: extends mesially to about the same level as the first pharyngobranchial and the first and second epibranchials in siluriforms		1	1			
8049	"Form of dorsal tip of maxilla: dorsal portion of maxilla in form of flat, medially-directed plate"		1	1			
3384	"Extra-caudal ossicle (sensu Fujita, 1990; an extra bone between HPU2 and HPU3) in haemal spine of PU2: absent in all specimens"	1			1		
27269	Hypural 2: very thin and stick-like			1			
22507	Dentary length and angle: short and anteriorly deflected		1	1			
663	Temporal canal pores: 2				1		
